crop_path,text,split,field_type,style_id,bias
crops/price_00000.png,0,train,price,10,0.378
crops/price_00001.png,0,train,price,0,0.366
crops/price_00002.png,0,train,price,12,0.864
crops/price_00003.png,0,train,price,12,0.330
crops/price_00004.png,0,train,price,9,0.435
crops/price_00007.png,"0,50",train,price,6,0.487
crops/price_00008.png,"0,50",train,price,2,0.485
crops/price_00009.png,"0,50",train,price,7,0.364
crops/price_00010.png,0.50,train,price,4,0.980
crops/price_00012.png,0.50,train,price,10,0.655
crops/price_00013.png,0.50,train,price,0,0.378
crops/price_00014.png,0.50,train,price,1,0.985
crops/price_00016.png,0.500,test,price,1,0.537
crops/price_00017.png,0.500,test,price,1,0.660
crops/price_00019.png,0.500,test,price,6,0.810
crops/price_00020.png,1,train,price,12,0.903
crops/price_00021.png,1,train,price,6,0.640
crops/price_00022.png,1,train,price,4,0.596
crops/price_00023.png,1,train,price,0,0.824
crops/price_00025.png,"1,00",test,price,5,0.954
crops/price_00026.png,"1,00",test,price,7,0.735
crops/price_00027.png,"1,00",test,price,4,0.410
crops/price_00028.png,"1,00",test,price,10,0.373
crops/price_00029.png,"1,00",test,price,10,0.744
crops/price_00030.png,"1,50",train,price,12,0.392
crops/price_00031.png,"1,50",train,price,8,0.325
crops/price_00034.png,"1,50",train,price,4,0.411
crops/price_00035.png,1.00,train,price,0,0.762
crops/price_00036.png,1.00,train,price,5,0.957
crops/price_00037.png,1.00,train,price,6,0.724
crops/price_00038.png,1.00,train,price,10,0.804
crops/price_00039.png,1.00,train,price,8,0.516
crops/price_00040.png,1.000,train,price,9,0.698
crops/price_00041.png,1.000,train,price,10,0.450
crops/price_00042.png,1.000,train,price,1,0.873
crops/price_00043.png,1.000,train,price,6,0.920
crops/price_00044.png,1.000,train,price,12,0.598
crops/price_00046.png,1.50,test,price,11,0.903
crops/price_00049.png,1.50,test,price,7,0.304
crops/price_00052.png,1.500,train,price,7,0.529
crops/price_00053.png,1.500,train,price,5,0.457
crops/price_00054.png,1.500,train,price,2,0.631
crops/price_00055.png,10,train,price,12,0.874
crops/price_00056.png,10,train,price,1,0.714
crops/price_00057.png,10,train,price,5,0.673
crops/price_00058.png,10,train,price,11,0.407
crops/price_00059.png,10,train,price,5,0.896
crops/price_00060.png,"10,00",val,price,5,0.427
crops/price_00061.png,"10,00",val,price,3,0.804
crops/price_00062.png,"10,00",val,price,11,0.470
crops/price_00064.png,"10,00",val,price,11,0.713
crops/price_00065.png,"10,50",train,price,2,0.492
crops/price_00067.png,"10,50",train,price,2,0.404
crops/price_00068.png,"10,50",train,price,12,0.666
crops/price_00069.png,"10,50",train,price,12,0.445
crops/price_00070.png,10.00,train,price,4,0.323
crops/price_00071.png,10.00,train,price,6,0.380
crops/price_00072.png,10.00,train,price,7,0.387
crops/price_00073.png,10.00,train,price,9,0.475
crops/price_00074.png,10.00,train,price,9,0.328
crops/price_00075.png,10.000,val,price,1,0.629
crops/price_00076.png,10.000,val,price,12,0.685
crops/price_00077.png,10.000,val,price,7,0.589
crops/price_00078.png,10.000,val,price,7,0.917
crops/price_00081.png,10.50,train,price,4,0.841
crops/price_00082.png,10.50,train,price,2,0.613
crops/price_00083.png,10.50,train,price,9,0.568
crops/price_00084.png,10.50,train,price,7,0.975
crops/price_00085.png,10.500,train,price,11,0.401
crops/price_00086.png,10.500,train,price,10,0.902
crops/price_00088.png,10.500,train,price,5,0.857
crops/price_00089.png,10.500,train,price,9,0.778
crops/price_00090.png,11,train,price,4,0.774
crops/price_00091.png,11,train,price,6,0.897
crops/price_00092.png,11,train,price,4,0.306
crops/price_00093.png,11,train,price,9,0.861
crops/price_00094.png,11,train,price,4,0.852
crops/price_00095.png,"11,00",train,price,8,0.651
crops/price_00096.png,"11,00",train,price,7,0.974
